Week,Team,Score_2,Opponent,Score,Game_Type,Manage
Week 17,DalvHIM Cook,84.08,Team Infantino,77.10,Consolation Game,Open options
Week 17,Ceedeez Nutz,93.00,Glizzy Gladiators,62.70,Consolation Game,Open options
Week 17,Team Goose,84.20,Ruggs Race team,71.86,Consolation Game,Open options
Week 17,Adrian  BeatHisSon,78.12,Team Proctor,106.12,Playoff Game,Open options
Week 17,Get MIXed,109.88,Team Tibbetts,110.10,Playoff Game,Open options
Week 17,Moby Huge,109.18,Team greenhouse,110.96,Championship Game,Open options
Week 16,Ceedeez Nutz,109.76,Team Goose,113.00,Consolation Game,Open options
Week 16,Team Infantino,67.60,Glizzy Gladiators,115.38,Consolation Game,Open options
Week 16,DalvHIM Cook,117.60,Ruggs Race team,148.02,Consolation Game,Open options
Week 16,Team Proctor,105.76,Adrian  BeatHisSon,106.40,Playoff Game,Open options
Week 16,Team greenhouse,98.96,Get MIXed,67.34,Playoff Game,Open options
Week 16,Moby Huge,119.26,Team Tibbetts,95.66,Playoff Game,Open options
Week 15,Team Tibbetts,157.80,Adrian  BeatHisSon,77.12,Playoff Game,Open options
Week 15,Team Proctor,105.84,Get MIXed,130.68,Playoff Game,Open options
Week 15,DalvHIM Cook,118.92,Ceedeez Nutz,137.78,Consolation Game,Open options
Week 15,Team Infantino,54.52,Team Goose,99.90,Consolation Game,Open options
Week 15,Ruggs Race team,135.96,Glizzy Gladiators,106.46,Consolation Game,Open options
Week 14,DalvHIM Cook,128.98,Team greenhouse,135.38,,Open options
Week 14,Ceedeez Nutz,73.00,Get MIXed,100.92,,Open options
Week 14,Adrian  BeatHisSon,152.46,Moby Huge,130.08,,Open options
Week 14,Team Goose,89.66,Ruggs Race team,89.00,,Open options
Week 14,Team Tibbetts,131.20,Team Proctor,99.78,,Open options
Week 14,Team Infantino,72.22,Glizzy Gladiators,84.98,,Open options
Week 13,Moby Huge,150.30,Ceedeez Nutz,114.76,,Open options
Week 13,Get MIXed,102.64,DalvHIM Cook,145.30,,Open options
Week 13,Ruggs Race team,92.88,Adrian  BeatHisSon,99.78,,Open options
Week 13,Team Goose,113.34,Team Proctor,103.32,,Open options
Week 13,Glizzy Gladiators,73.02,Team Tibbetts,134.66,,Open options
Week 13,Team greenhouse,149.30,Team Infantino,110.84,,Open options
Week 12,Ruggs Race team,97.90,Ceedeez Nutz,126.64,,Open options
Week 12,DalvHIM Cook,88.66,Moby Huge,133.22,,Open options
Week 12,Adrian  BeatHisSon,106.42,Team Proctor,119.30,,Open options
Week 12,Glizzy Gladiators,119.82,Team Goose,117.80,,Open options
Week 12,Team Tibbetts,84.64,Team greenhouse,152.22,,Open options
Week 12,Team Infantino,107.56,Get MIXed,106.24,,Open options
Week 11,Team Goose,123.30,Team greenhouse,110.94,,Open options
Week 11,DalvHIM Cook,111.30,Ruggs Race team,125.64,,Open options
Week 11,Ceedeez Nutz,81.12,Team Proctor,109.96,,Open options
Week 11,Adrian  BeatHisSon,67.42,Glizzy Gladiators,73.28,,Open options
Week 11,Team Tibbetts,87.10,Get MIXed,124.34,,Open options
Week 11,Team Infantino,122.76,Moby Huge,150.70,,Open options
Week 10,Team Infantino,93.02,Ruggs Race team,88.96,,Open options
Week 10,Team Tibbetts,95.68,Moby Huge,117.20,,Open options
Week 10,Get MIXed,119.42,Team Goose,80.30,,Open options
Week 10,Adrian  BeatHisSon,89.54,Team greenhouse,90.94,,Open options
Week 10,Ceedeez Nutz,166.48,Glizzy Gladiators,86.90,,Open options
Week 10,DalvHIM Cook,144.20,Team Proctor,127.14,,Open options
Week 9,Team Goose,128.54,Moby Huge,137.62,,Open options
Week 9,DalvHIM Cook,129.50,Glizzy Gladiators,94.80,,Open options
Week 9,Ceedeez Nutz,105.78,Team greenhouse,103.26,,Open options
Week 9,Adrian  BeatHisSon,63.90,Get MIXed,154.86,,Open options
Week 9,Team Tibbetts,86.30,Ruggs Race team,81.84,,Open options
Week 9,Team Infantino,101.52,Team Proctor,110.74,,Open options
Week 8,Team Infantino,109.82,Glizzy Gladiators,102.62,,Open options
Week 8,Team greenhouse,130.36,DalvHIM Cook,139.16,,Open options
Week 8,Get MIXed,129.66,Ceedeez Nutz,101.34,,Open options
Week 8,Moby Huge,170.96,Adrian  BeatHisSon,128.08,,Open options
Week 8,Ruggs Race team,114.22,Team Goose,120.88,,Open options
Week 8,Team Proctor,137.34,Team Tibbetts,160.44,,Open options
Week 7,Team Infantino,92.70,Team greenhouse,118.94,,Open options
Week 7,DalvHIM Cook,103.30,Get MIXed,111.10,,Open options
Week 7,Ceedeez Nutz,83.62,Moby Huge,106.60,,Open options
Week 7,Adrian  BeatHisSon,124.02,Ruggs Race team,112.66,,Open options
Week 7,Team Goose,100.04,Team Proctor,101.62,,Open options
Week 7,Team Tibbetts,115.86,Glizzy Gladiators,103.28,,Open options
Week 6,Team Proctor,127.62,Adrian  BeatHisSon,57.52,,Open options
Week 6,Moby Huge,142.00,DalvHIM Cook,82.52,,Open options
Week 6,Ruggs Race team,108.64,Ceedeez Nutz,91.20,,Open options
Week 6,Glizzy Gladiators,109.06,Team Goose,112.60,,Open options
Week 6,Team greenhouse,119.02,Team Tibbetts,99.28,,Open options
Week 6,Get MIXed,104.12,Team Infantino,83.80,,Open options
Week 5,Get MIXed,101.74,Moby Huge,144.06,,Open options
Week 5,Team greenhouse,135.46,Ruggs Race team,146.36,,Open options
Week 5,Glizzy Gladiators,122.66,Team Proctor,103.58,,Open options
Week 5,Team Infantino,96.96,DalvHIM Cook,102.74,,Open options
