Transaction At,Type,Team,Transaction,FAAB,Misc,Manage
Week 17,,Team greenhouse,"(+) Gardner Minshew   LV   QB, (-) Taylor Heinicke   LAC   QB",$0,,Open options
Week 17,,Team Tibbetts,"(+) Jacksonville Jaguars   JAX   DEF, (-) Arizona Cardinals   ARI   DEF",$0,,Open options
Week 17,,Get MIXed,"(+) New York Giants   NYG   DEF, (-) Denver Broncos   DEN   DEF",$0,,Open options
Week 16,,Team Tibbetts,"(+) Zack Moss   BUF   RB, (-) Dare Ogunbowale   HOU   RB",$0,,Open options
Week 16,,Team Tibbetts,"(+) Tennessee Titans   TEN   DEF, (-) Taysom Hill   NO   QB",$0,,Open options
Week 16,,Team greenhouse,"(+) Derek Carr   LV   QB, (-) James Robinson   JAX   RB",$0,,Open options
Week 15,,Team Tibbetts,"(+) Dare Ogunbowale   HOU   RB, (-) Kyler Murray   ARI   QB",$0,,Open options
Week 15,,Team Tibbetts,"(+) Dallas Goedert   PHI   TE, (-) Austin Hooper   TEN   TE",$0,,Open options
Week 15,,Get MIXed,"(+) Denver Broncos   DEN   DEF, (-) Tennessee Titans   TEN   DEF",$0,,Open options
Week 14,,Team Tibbetts,"(+) Taysom Hill   NO   QB, (-) Melvin Gordon   DEN   RB",$0,,Open options
Week 14,,Team greenhouse,"(+) Brandon McManus   DEN   K, (-) Cairo Santos   CHI   K",$0,,Open options
Week 14,,Team Tibbetts,"(+) Austin Hooper   TEN   TE, (-) Taysom Hill   NO   QB",$0,,Open options
Week 14,,Ruggs Race team,"(+) Mac Jones   NE   QB, (-) Darrell Henderson   LAR   RB",$0,,Open options
Week 14,,Ruggs Race team,"(+) DeVante Parker   NE   WR, (-) New Orleans Saints   NO   DEF",$0,,Open options
Week 14,,Team Tibbetts,"(+) Robbie Gould   SF   K, (-) Younghoe Koo   ATL   K",$0,,Open options
Week 14,,Get MIXed,"(+) Tennessee Titans   TEN   DEF, (-) Cleveland Browns   CLE   DEF",$0,,Open options
Week 14,,Adrian  BeatHisSon,(+) Miami Dolphins   MIA   DEF,$0,,Open options
Week 14,,Team Tibbetts,"(+) Arizona Cardinals   ARI   DEF, (-) Washington Commanders   WAS   DEF",$0,,Open options
Week 14,,Team Goose,"(+) Daniel Bellinger   NYG   TE, (-) Hayden Hurst   CIN   TE",$0,,Open options
Week 14,,Team Infantino,"(+) James Cook   BUF   RB, (-) Rashod Bateman   BAL   WR",$0,,Open options
Week 14,,Team Infantino,"(+) Tyler Huntley   MIA   QB, (-) Drake London   ATL   WR",$0,,Open options
Week 14,,Team Proctor,(+) Cam Akers   LAR   RB,$0,,Open options
Week 14,,Team Infantino,(+) Samaje Perine   CIN   RB,$0,,Open options
Week 13,,Team Infantino,"(+) Juwan Johnson   NO   TE, (-) J.D. McKissic   WAS   RB",$0,,Open options
Week 13,,Get MIXed,"(+) Cleveland Browns   CLE   DEF, (-) Denver Broncos   DEN   DEF",$0,,Open options
Week 13,,Team Tibbetts,"(+) Taysom Hill   NO   QB, (-) Juwan Johnson   NO   TE",$0,,Open options
Week 13,,Team Goose,"(+) Zonovan Knight   NYJ   RB, (-) Samaje Perine   CIN   RB",$0,,Open options
Week 13,,Team Infantino,"(+) Van Jefferson   PIT   WR, (-) Eddy Pineiro   CAR   K, (-) Mecole Hardman   KC   WR",$0,,Open options
Week 13,,Team Goose,"(+) Seattle Seahawks   SEA   DEF, (-) Miami Dolphins   MIA   DEF",$0,,Open options
Week 12,,Team Goose,"(+) Hayden Hurst   CIN   TE, (-) Kyle Pitts   ATL   TE",$0,,Open options
Week 12,,Team Tibbetts,"(+) Juwan Johnson   NO   TE, (-) Hayden Hurst   CIN   TE",$0,,Open options
Week 12,,Team Tibbetts,"(+) Isiah Pacheco   KC   RB, (-) Chuba Hubbard   CAR   RB",$0,,Open options
Week 12,,Team Goose,"(+) Samaje Perine   CIN   RB, (-) Rondale Moore   ATL   WR",$0,,Open options
Week 12,,Get MIXed,"(+) Jerick McKinnon   KC   RB, (-) Deon Jackson   FA   RB",$0,,Open options
Week 12,,Adrian  BeatHisSon,(+) Indianapolis Colts   IND   DEF,$0,,Open options
Week 12,,Team Goose,"(+) Miami Dolphins   MIA   DEF, (-) New York Giants   NYG   DEF",$0,,Open options
Week 11,,DalvHIM CookAdrian  BeatHisSon,"(-) Geno Smith   SEA   QB, (+) Justin Herbert   LAC   QB",$0,,Open options
Week 11,,DalvHIM Cook,"(+) Graham Gano   NYG   K, (-) Greg Zuerlein   NYJ   K",$0,,Open options
Week 11,,Get MIXed,"(+) Devin Duvernay   BAL   WR, (-) Jason Sanders   MIA   K",$0,,Open options
Week 11,,DalvHIM Cook,"(+) Rachaad White   TB   RB, (-) Khalil Herbert   CHI   RB",$0,,Open options
